date,ADS_Index
1961:08:11,0.981086
1961:08:12,0.967586
1961:08:13,0.953181
1961:08:14,0.937866
1961:08:15,0.921638
1961:08:16,0.90449
1961:08:17,0.886418
1961:08:18,0.867417
1961:08:19,0.847481
1961:08:20,0.826603
1961:08:21,0.804778
1961:08:22,0.781998
1961:08:23,0.758258
1961:08:24,0.733549
1961:08:25,0.707865
1961:08:26,0.681197
1961:08:27,0.653538
1961:08:28,0.624878
1961:08:29,0.595211
1961:08:30,0.564526
1961:08:31,0.532814
1961:09:01,0.500066
1961:09:02,0.470164
1961:09:03,0.4431
1961:09:04,0.418864
1961:09:05,0.39745
1961:09:06,0.378851
1961:09:07,0.363062
1961:09:08,0.350077
1961:09:09,0.339894
1961:09:10,0.332508
1961:09:11,0.327918
1961:09:12,0.326123
1961:09:13,0.32712
1961:09:14,0.330912
1961:09:15,0.337499
1961:09:16,0.346883
1961:09:17,0.359067
1961:09:18,0.374055
1961:09:19,0.391851
1961:09:20,0.41246
1961:09:21,0.435889
1961:09:22,0.462145
1961:09:23,0.491236
1961:09:24,0.52317
1961:09:25,0.557957
1961:09:26,0.595608
1961:09:27,0.636134
1961:09:28,0.679547
1961:09:29,0.725861
1961:09:30,0.775089
1961:10:01,0.827246
1961:10:02,0.877828
1961:10:03,0.92685
1961:10:04,0.974327
1961:10:05,1.02027
1961:10:06,1.0647
1961:10:07,1.10763
1961:10:08,1.14906
1961:10:09,1.18902
1961:10:10,1.22751
1961:10:11,1.26455
1961:10:12,1.30014
1961:10:13,1.3343
1961:10:14,1.36704
1961:10:15,1.39837
1961:10:16,1.42829
1961:10:17,1.45682
1961:10:18,1.48397
1961:10:19,1.50974
1961:10:20,1.53414
1961:10:21,1.55717
1961:10:22,1.57886
1961:10:23,1.59919
1961:10:24,1.61818
1961:10:25,1.63584
1961:10:26,1.65216
1961:10:27,1.66716
1961:10:28,1.68084
1961:10:29,1.6932
1961:10:30,1.70424
1961:10:31,1.71398
1961:11:01,1.7224
1961:11:02,1.72947
1961:11:03,1.73517
1961:11:04,1.73952
1961:11:05,1.74251
1961:11:06,1.74415
1961:11:07,1.74443
1961:11:08,1.74335
1961:11:09,1.74092
1961:11:10,1.73714
1961:11:11,1.73199
1961:11:12,1.72549
1961:11:13,1.71762
1961:11:14,1.7084
1961:11:15,1.6978
1961:11:16,1.68584
1961:11:17,1.6725
1961:11:18,1.65779
1961:11:19,1.6417
1961:11:20,1.62422
1961:11:21,1.60534
1961:11:22,1.58508
1961:11:23,1.5634
1961:11:24,1.54032
1961:11:25,1.51582
1961:11:26,1.4899
1961:11:27,1.46254
1961:11:28,1.43375
1961:11:29,1.4035
1961:11:30,1.3718
1961:12:01,1.33863
1961:12:02,1.30495
1961:12:03,1.27076
1961:12:04,1.23604
1961:12:05,1.20079
1961:12:06,1.16499
1961:12:07,1.12862
1961:12:08,1.09169
1961:12:09,1.05418
1961:12:10,1.01608
1961:12:11,0.977375
1961:12:12,0.938055
1961:12:13,0.898107
1961:12:14,0.857521
1961:12:15,0.816284
1961:12:16,0.774383
1961:12:17,0.731806
1961:12:18,0.68854
1961:12:19,0.644572
1961:12:20,0.599888
1961:12:21,0.554476
1961:12:22,0.508321
1961:12:23,0.461409
1961:12:24,0.413727
1961:12:25,0.36526
1961:12:26,0.315993
1961:12:27,0.265912
1961:12:28,0.215001
1961:12:29,0.163245
1961:12:30,0.110628
1961:12:31,0.0571345
1962:01:01,0.00274857
1962:01:02,-0.0471204
1962:01:03,-0.0924873
1962:01:04,-0.133366
1962:01:05,-0.169769
1962:01:06,-0.201706
1962:01:07,-0.229189
1962:01:08,-0.252224
1962:01:09,-0.27082
1962:01:10,-0.284981
1962:01:11,-0.294711
1962:01:12,-0.300015
1962:01:13,-0.300893
1962:01:14,-0.297345
1962:01:15,-0.289371
1962:01:16,-0.276968
1962:01:17,-0.260133
1962:01:18,-0.238859
1962:01:19,-0.213142
1962:01:20,-0.182973
1962:01:21,-0.148343
1962:01:22,-0.109241
1962:01:23,-0.0656567
1962:01:24,-0.0175755
1962:01:25,0.0350165
1962:01:26,0.0921353
1962:01:27,0.153798
1962:01:28,0.220024
1962:01:29,0.290832
1962:01:30,0.366244
1962:01:31,0.446282
1962:02:01,0.530972
1962:02:02,0.611139
1962:02:03,0.686808
1962:02:04,0.758
1962:02:05,0.824739
1962:02:06,0.887043
1962:02:07,0.944932
1962:02:08,0.998423
1962:02:09,1.04753
1962:02:10,1.09228
1962:02:11,1.13266
1962:02:12,1.16871
1962:02:13,1.20043
1962:02:14,1.22783
1962:02:15,1.25091
1962:02:16,1.26969
1962:02:17,1.28417
1962:02:18,1.29436
1962:02:19,1.30025
1962:02:20,1.30185
1962:02:21,1.29916
1962:02:22,1.29218
1962:02:23,1.28091
1962:02:24,1.26534
1962:02:25,1.24547
1962:02:26,1.22129
1962:02:27,1.1928
1962:02:28,1.15999
1962:03:01,1.12284
1962:03:02,1.08731
1962:03:03,1.0534
1962:03:04,1.02108
1962:03:05,0.990354
1962:03:06,0.96121
1962:03:07,0.933638
1962:03:08,0.907631
1962:03:09,0.88318
1962:03:10,0.860277
1962:03:11,0.838917
1962:03:12,0.819092
1962:03:13,0.800796
1962:03:14,0.784024
1962:03:15,0.768772
1962:03:16,0.755033
1962:03:17,0.742805
1962:03:18,0.732084
1962:03:19,0.722865
1962:03:20,0.715147
1962:03:21,0.708927
1962:03:22,0.704204
1962:03:23,0.700975
1962:03:24,0.69924
1962:03:25,0.698998
1962:03:26,0.70025
1962:03:27,0.702995
1962:03:28,0.707235
1962:03:29,0.71297
1962:03:30,0.720203
1962:03:31,0.728936
1962:04:01,0.739171
1962:04:02,0.747569
1962:04:03,0.754134
1962:04:04,0.758866
1962:04:05,0.761768
1962:04:06,0.76284
1962:04:07,0.762082
1962:04:08,0.759495
1962:04:09,0.755078
1962:04:10,0.748829
1962:04:11,0.740746
1962:04:12,0.730827
1962:04:13,0.71907
1962:04:14,0.705469
1962:04:15,0.690022
1962:04:16,0.672723
1962:04:17,0.653568
1962:04:18,0.632551
1962:04:19,0.609665
1962:04:20,0.584903
1962:04:21,0.558258
1962:04:22,0.529722
1962:04:23,0.499286
1962:04:24,0.466941
1962:04:25,0.432678
1962:04:26,0.396485
1962:04:27,0.358353
1962:04:28,0.318269
1962:04:29,0.276221
1962:04:30,0.232197
1962:05:01,0.186184
1962:05:02,0.141775
1962:05:03,0.0989563
1962:05:04,0.0577157
1962:05:05,0.0180404
1962:05:06,-0.0200814
1962:05:07,-0.0566614
1962:05:08,-0.0917105
1962:05:09,-0.125239
1962:05:10,-0.157258
1962:05:11,-0.187776
1962:05:12,-0.216803
1962:05:13,-0.244347
1962:05:14,-0.270418
1962:05:15,-0.295021
1962:05:16,-0.318166
1962:05:17,-0.339859
1962:05:18,-0.360107
1962:05:19,-0.378915
1962:05:20,-0.39629
1962:05:21,-0.412236
1962:05:22,-0.426759
1962:05:23,-0.439863
1962:05:24,-0.451551
1962:05:25,-0.461828
1962:05:26,-0.470697
1962:05:27,-0.478159
1962:05:28,-0.484218
1962:05:29,-0.488875
1962:05:30,-0.492132
1962:05:31,-0.493989
1962:06:01,-0.494447
1962:06:02,-0.493662
1962:06:03,-0.491635
1962:06:04,-0.488363
1962:06:05,-0.483847
1962:06:06,-0.478085
1962:06:07,-0.471075
1962:06:08,-0.462814
1962:06:09,-0.453302
1962:06:10,-0.442534
1962:06:11,-0.430508
1962:06:12,-0.417219
1962:06:13,-0.402664
1962:06:14,-0.386838
1962:06:15,-0.369737
1962:06:16,-0.351356
1962:06:17,-0.331688
1962:06:18,-0.310729
1962:06:19,-0.288471
1962:06:20,-0.264908
1962:06:21,-0.240033
1962:06:22,-0.213838
1962:06:23,-0.186315
1962:06:24,-0.157457
1962:06:25,-0.127254
1962:06:26,-0.0956968
1962:06:27,-0.0627767
1962:06:28,-0.0284834
1962:06:29,0.00719349
1962:06:30,0.0442647
1962:07:01,0.0827414
1962:07:02,0.119289
1962:07:03,0.15392
1962:07:04,0.186643
1962:07:05,0.217468
1962:07:06,0.246406
1962:07:07,0.273464
1962:07:08,0.298651
1962:07:09,0.321975
1962:07:10,0.343442
1962:07:11,0.363059
1962:07:12,0.380831
1962:07:13,0.396765
1962:07:14,0.410866
1962:07:15,0.423136
1962:07:16,0.43358
1962:07:17,0.442202
1962:07:18,0.449003
1962:07:19,0.453987
1962:07:20,0.457153
1962:07:21,0.458504
1962:07:22,0.458039
1962:07:23,0.455759
1962:07:24,0.451663
1962:07:25,0.44575
1962:07:26,0.438017
1962:07:27,0.428463
1962:07:28,0.417084
1962:07:29,0.403878
1962:07:30,0.38884
1962:07:31,0.371966
1962:08:01,0.35325
1962:08:02,0.335587
1962:08:03,0.318972
1962:08:04,0.3034
1962:08:05,0.288865
1962:08:06,0.275365
1962:08:07,0.262894
1962:08:08,0.251449
1962:08:09,0.241027
1962:08:10,0.231623
1962:08:11,0.223236
1962:08:12,0.215863
1962:08:13,0.209502
1962:08:14,0.20415
1962:08:15,0.199807
1962:08:16,0.19647
1962:08:17,0.194139
1962:08:18,0.192814
1962:08:19,0.192493
1962:08:20,0.193176
1962:08:21,0.194864
1962:08:22,0.197558
1962:08:23,0.201258
1962:08:24,0.205965
1962:08:25,0.211681
1962:08:26,0.218407
1962:08:27,0.226145
1962:08:28,0.234898
1962:08:29,0.244669
1962:08:30,0.25546
1962:08:31,0.267275
1962:09:01,0.280117
