date,GDP,GPDIC1,OUTNFB,OUTBS,INDPRO,CMRMTSPLx,IPMAT,FPIx,IPFINAL,IPDMAT
3/1/1990,0.010868625,0.009881271,0.012240875,0.011673429,0.006605883,0.00911911,0.00449019,0.011798783,0.006391722,0.005231179
6/1/1990,0.003622513,0.000312237,0.002511451,0.002805051,0.007458611,0.003427457,0.007394304,-0.019961502,0.0097772,0.017010843
9/1/1990,0.000665008,-0.019575578,-0.001975391,-0.001161665,0.004162358,-0.000448696,0.005161101,-0.008237544,0.004508251,0.005848781
12/1/1990,-0.009145487,-0.057567427,-0.014725449,-0.013335512,-0.015607522,-0.024735849,-0.014925743,-0.026120192,-0.01844303,-0.029548938
3/1/1991,-0.004689416,-0.03384017,-0.006755447,-0.007620157,-0.019084219,-0.015587831,-0.020928935,-0.02798972,-0.014453828,-0.036749865
6/1/1991,0.007766947,-3.57E-06,0.009882469,0.009880003,0.005813409,0.021565842,0.005985656,0.00296168,0.006523155,0.007759874
9/1/1991,0.005040243,0.019606159,0.007357563,0.006044674,0.014058725,0.011302938,0.016325469,0.001173766,0.013201014,0.029674746
12/1/1991,0.003478928,0.034844616,0.003001948,0.003775615,0.002352199,-0.003963787,0.0024632,0.004298316,0.00203879,0.008354684
3/1/1992,0.011899437,-0.018645985,0.013708662,0.015270831,-0.00111351,0.012555922,0.002971992,0.01087362,-0.007234502,0.011065006
6/1/1992,0.010785164,0.055011818,0.012352218,0.012546944,0.017647508,0.007834033,0.015985579,0.032310021,0.020258661,0.027389597
9/1/1992,0.009834205,0.007917637,0.010633152,0.010846462,0.007663836,0.01130806,0.005817099,0.011408579,0.009606869,0.012714185
12/1/1992,0.010377613,0.030054703,0.012372754,0.011907426,0.010506471,0.014187882,0.010451564,0.028817479,0.012155274,0.013966557
3/1/1993,0.001672603,0.023302299,0.000193766,-0.000650007,0.00882047,0.010373232,0.008799595,0.007457235,0.00772755,0.019936079
6/1/1993,0.005807301,0.005736757,0.005427779,0.006201733,0.002275253,0.004626418,0.004264921,0.017825226,-0.001139512,0.010618287
9/1/1993,0.004761792,-0.00681473,0.010265259,0.004808707,0.003917152,0.008180217,0.003863323,0.015585977,0.003468822,0.010599052
12/1/1993,0.013509468,0.05121286,0.013331234,0.017077936,0.015060795,0.016329114,0.017171039,0.039375395,0.014145214,0.029649132
3/1/1994,0.009655399,0.037382364,0.009094997,0.011619544,0.012321957,0.016573582,0.014649468,0.011744512,0.009603271,0.023658679
6/1/1994,0.013459472,0.048009559,0.016945854,0.016216662,0.01795024,0.013376684,0.022312076,0.020008996,0.013529195,0.037660176
9/1/1994,0.005828136,-0.016470429,0.006016305,0.005931491,0.012690596,0.016656941,0.017019742,0.00824911,0.00947882,0.026360156
12/1/1994,0.01139013,0.040317078,0.014655711,0.014204412,0.02053935,0.020803075,0.022948996,0.023870056,0.019735151,0.038545929
3/1/1995,0.003541284,0.010446552,0.005487675,0.003073398,0.010210376,0.008422445,0.012901236,0.020959087,0.008434216,0.02238761
6/1/1995,0.002978967,-0.020988861,0.003226411,0.002740194,0.003171688,-0.001518746,0.003634092,-0.000673162,0.003856211,0.007473937
9/1/1995,0.008470797,-0.00597851,0.011347206,0.010662043,0.00912001,0.009928433,0.005795037,0.013868147,0.012171643,0.01737709
12/1/1995,0.006767261,0.024531245,0.008049712,0.008740785,0.008542529,0.013375572,0.012013503,0.019246756,0.003995882,0.030634957
3/1/1996,0.007461561,0.015931046,0.008158664,0.009451926,0.006716376,0.001995704,0.011503703,0.025231308,0.002564785,0.024496472
6/1/1996,0.016540916,0.046931746,0.018982828,0.019550584,0.021239885,0.015711288,0.021225239,0.030541093,0.023020816,0.032403981
9/1/1996,0.008929923,0.044423551,0.011933884,0.011030849,0.012879027,0.010543102,0.014548587,0.022456691,0.010465156,0.029386953
12/1/1996,0.010330278,-0.00131964,0.012200455,0.012373355,0.013932835,0.013482069,0.015127677,0.015833333,0.012212154,0.023571292
3/1/1997,0.006434895,0.019990715,0.006314671,0.006908283,0.018916464,0.024120667,0.021213542,0.018506052,0.017075603,0.034622703
6/1/1997,0.016483414,0.059391945,0.019458148,0.020017707,0.014185089,0.014644106,0.016517426,0.018886964,0.011933084,0.032367444
9/1/1997,0.012430896,0.013903763,0.014113623,0.01450525,0.022687113,0.019687643,0.02429593,0.034857929,0.023868656,0.034356518
12/1/1997,0.008551497,0.014809431,0.009706364,0.00916784,0.024762358,0.007739765,0.022949199,0.007369938,0.027927003,0.042595703
3/1/1998,0.009945181,0.042678935,0.012083489,0.011254321,0.011176694,0.014749187,0.0114449,0.029110902,0.01138267,0.021290943
6/1/1998,0.009215478,-0.006195019,0.010677337,0.010400319,0.00671342,0.01020214,0.004735365,0.033431246,0.00680543,0.004272495
9/1/1998,0.012447877,0.025384214,0.014637635,0.014779005,0.007366837,0.003032317,0.006638944,0.018981896,0.006133325,0.01852964
12/1/1998,0.016029638,0.030396343,0.019957682,0.019818608,0.01429497,0.023774481,0.020026281,0.027367287,0.010094295,0.044474761
3/1/1999,0.009420209,0.027089008,0.011601324,0.011365289,0.011001638,0.014951302,0.015498422,0.017359457,0.007423227,0.025731362
6/1/1999,0.007662157,0.000623961,0.008151875,0.008453271,0.009555581,0.012513932,0.016613184,0.023496633,0.003602999,0.028886059
9/1/1999,0.013011629,0.027069074,0.015714722,0.015205511,0.00887013,0.011449985,0.016616717,0.023022871,0.001270174,0.027638317
12/1/1999,0.016853037,0.026444039,0.019315198,0.019476426,0.017547214,0.015038729,0.01940949,0.005178352,0.016121075,0.026185135
3/1/2000,0.003611074,-0.007057548,0.00393114,0.005078393,0.010053918,0.004364372,0.013143592,0.028208053,0.005905696,0.027900743
6/1/2000,0.018146008,0.057515223,0.021905836,0.021821342,0.012029831,0.008683809,0.011798398,0.021872314,0.013375175,0.022303852
9/1/2000,0.001334662,-0.009860931,-0.000150047,0.000237169,-0.000973074,0.000115017,-0.001136837,0.004354649,0.000411048,0.009896914
12/1/2000,0.006209577,0.001913873,0.006792023,0.006580813,-0.002108434,-0.002666182,-0.003106844,0.003038306,0.000684705,-0.00652003
3/1/2001,-0.002855851,-0.046430576,-0.004868128,-0.005171439,-0.013279398,-0.006363236,-0.018990886,-0.005820056,-0.007109996,-0.023054179
6/1/2001,0.005828539,0.001425976,0.007138446,0.006039011,-0.012698794,-0.013322289,-0.014431927,-0.011781171,-0.009120364,-0.012760063
9/1/2001,-0.004159018,-0.021875663,-0.006813997,-0.007024116,-0.013883435,-0.004047016,-0.015099837,-0.00719207,-0.014093238,-0.022652545
12/1/2001,0.002720011,-0.050795898,0.001059963,0.002703597,-0.010524553,0.015224783,-0.011768012,-0.023076839,-0.008909416,-0.019812609
3/1/2002,0.008707125,0.029076127,0.012620378,0.00995378,0.007356898,-0.000511265,0.012831853,-0.008682802,0.003645074,0.019522735
6/1/2002,0.006039054,0.016297976,0.004102192,0.006214022,0.01542727,0.011814657,0.024203666,-0.00111628,0.005989631,0.031726678
9/1/2002,0.00443586,-0.001481353,0.004207494,0.004848539,0.005854682,0.003577316,0.006494762,-0.001476208,0.005624412,0.013860986
12/1/2002,0.001547029,-0.0006175,0.000524694,0.001047223,-0.000221949,-0.002665141,-0.002488324,-0.004201453,0.000141252,0.000325387
3/1/2003,0.005532336,0.007662634,0.005134768,0.005195511,0.006221605,-0.000163806,0.004243819,0.009033479,0.009135736,0.006595398
6/1/2003,0.008565807,0.00687768,0.009998876,0.010430562,-0.007501721,0.008389321,-0.007531385,0.023738548,-0.007052756,-0.003419128
9/1/2003,0.016839511,0.035789669,0.023723849,0.022076841,0.006609344,0.017749677,0.006103923,0.031906976,0.008156257,0.015039429
12/1/2003,0.011416256,0.033133758,0.014364431,0.013237979,0.009730368,0.006558485,0.015030662,0.017941736,0.004724526,0.027679642
3/1/2004,0.005323279,0.001982239,0.000763112,0.003821095,0.006996749,0.00736928,0.007049227,-0.002818375,0.007291312,0.014597356
6/1/2004,0.007591872,0.03916777,0.010325491,0.00845591,0.005700465,0.00879292,0.008179151,0.026905885,0.002614974,0.013118015
